userId,movieId,rating,timestamp
1,5,2.9,870035191
1,10,4.2,857079802
1,7,4.8,865045955
1,15,3.2,842723872
1,14,4.3,836522907
1,2,3.7,864568748
1,16,2.9,909312112
1,11,4.2,874656950
2,14,3.2,867570492
2,8,4.5,896784391
2,17,3.8,903225980
2,13,4.3,883676182
2,7,4.2,833975248
2,6,4.2,867156714
2,19,2.9,890516537
2,9,2.7,844548116
2,12,3.4,831453007
3,1,4.0,863431680
3,2,3.2,886191651
3,9,3.8,861795874
3,20,2.7,901402038
3,5,2.3,889677079
3,19,3.1,913805139
3,14,4.4,835231210
3,7,3.1,888370066
3,17,1.0,883028259
3,8,1.6,856626353
3,6,2.4,910858069
3,13,4.4,846114000
3,12,2.5,891689018
4,4,3.2,886329801
4,8,4.6,863209303
4,7,2.6,895748789
4,2,4.6,861580740
4,15,4.5,887770294
4,3,2.0,830340296
4,13,2.4,864703815
4,14,3.9,854686980
5,10,3.2,874500448
5,13,2.9,872067240
5,6,4.6,874282709
5,7,1.4,834024908
5,12,3.0,893029558
5,2,4.3,892699461
5,19,2.2,843645543
5,8,4.3,823741255
5,18,3.3,916321186
6,16,5.0,909167726
6,17,3.6,866954529
6,18,3.4,851592905
6,5,4.8,893661735
6,9,2.8,894678961
6,19,3.4,826764286
6,3,3.1,903111267
6,10,4.0,848050861
6,20,3.8,851032367
6,12,3.4,913437248
7,20,3.8,839977565
7,3,2.3,863383586
7,4,3.6,832375380
7,1,3.9,870837258
7,19,4.6,886286421
7,13,2.7,879693610
7,16,2.9,875519804
7,5,3.7,820651103
8,2,2.4,880310715
8,5,2.2,847407645
8,7,4.5,865389688
8,12,3.8,915914345
8,6,2.2,830527807
8,13,5.0,851872390
8,1,3.8,851033467
8,19,3.6,877741564
8,9,2.1,835361339
8,3,3.4,903099409
8,15,4.6,825338193
8,10,3.9,918442271
8,17,3.0,870452623
8,11,3.7,842806982
9,13,2.6,912484186
9,14,3.1,852069631
9,7,3.8,881628409
9,1,3.2,897899635
9,20,4.7,903369851
9,18,3.4,866279936
9,8,3.5,863361865
9,19,5.0,867787727
9,5,2.7,893694461
10,12,4.0,885258734
10,5,3.1,837671896
10,19,3.0,893489316
10,10,4.1,883621915
10,16,5.0,829509574
10,18,2.0,915993850
10,3,4.1,915888024
10,14,3.6,913137142
10,4,2.7,914602706
10,13,3.1,832934022
11,16,4.4,828770901
11,17,3.6,893053458
11,10,3.9,853363775
11,13,3.1,873219682
11,1,3.6,828625881
11,18,2.5,913612746
11,12,4.3,914906613
11,7,4.3,913613998
11,11,4.4,820489057
11,6,4.6,891776023
11,8,5.0,832274049
12,2,4.3,864231412
12,7,2.8,859092647
12,10,3.2,919703465
12,11,4.4,886574961
12,9,3.0,919910473
12,1,4.3,906344366
12,20,2.7,822899950
12,18,4.3,821457258
13,12,4.4,903798021
13,6,3.0,864878076
13,19,1.5,835521299
13,5,3.7,872255313
13,1,2.5,918020478
13,17,2.9,841913573
13,10,2.5,908414571
13,15,2.6,857637682
13,14,3.2,918002717
13,13,3.6,864654004
13,3,4.4,834513025
13,9,2.9,845749263
13,18,4.8,884923315
13,11,3.6,911371589
14,9,2.2,878830624
14,11,4.6,834792444
14,18,2.9,842559286
14,13,2.9,878715010
14,20,3.8,885243305
14,2,3.7,872966368
14,12,5.0,882601248
14,6,4.9,832826791
14,5,3.3,912105719
14,14,3.1,871929159
14,16,4.9,903738236
15,14,0.5,827661049
15,20,3.5,919546447
15,19,2.8,895307738
15,18,3.5,858784169
15,9,4.5,866672658
15,1,3.5,836375130
15,5,4.3,840048054
15,3,4.6,903906973
15,7,4.5,852859270
15,6,3.8,828004928
15,11,4.7,850634449
15,2,3.4,838092665
15,13,2.5,839438702
